Count,City,Country,Date,latitude,longitude
1,Sumerville,United States,1982-05-04,42.387597,-71.099497
14,Sydney,Australia,1994-06-16,-33.86882,151.209296
2,Tabriz,Iran,1992-03-26,38.096239,46.273801
1,Talpiot,Israel,1977-11-13,31.752648,35.221389
1,Tampa,United States,1968-05-30,27.950575,-82.457178
1,Taqah,Trucial Oman States,1976-07-01,,
1,Tarma,Peru,1981-07-30,-11.419335,-75.688949
2,Tarsus,Turkey,1979-06-03,36.916561,34.89521
35,Tegucigalpa,Honduras,2009-08-27,14.072275,-87.192136
82,Tehran,Iran,2008-12-13,35.689198,51.388974
98,Tel Aviv,Israel,2006-04-17,32.0853,34.781768
1,Teoponte,Bolivia,1970-07-21,-15.496577,-67.816739
1,Terrenia,Italy,1973-01-17,43.629436,10.290863
21,The Hague,Netherlands,1999-02-16,52.070498,4.3007
9,Thessalonika,Greece,2007-01-16,40.640063,22.944419
71,Thessaloniki,Greece,2009-12-12,40.640063,22.944419
3,Tiberias,Israel,2008-11-01,32.795859,35.530973
18,Tirana,Albania,2007-05-31,41.327546,19.818698
37,Tokyo,Japan,2005-01-09,35.709026,139.731992
1,Toronto,Canada,1982-10-14,43.653226,-79.383184
1,Torrance,United States,1980-07-30,33.835849,-118.340629
7,Toulouse,France,2007-03-07,43.604652,1.444209
2,Trieste,Italy,2000-09-15,45.649526,13.776818
13,Tripoli,Libya,1989-09-28,32.887209,13.191338
1,Tucuman,Argentina,1970-10-05,-26.808285,-65.21759
1,Tuebingen,Federal Republic of Germany,1982-05-02,48.521636,9.057645
14,Turin,Italy,2007-03-05,45.070312,7.686856
4,Tyre,Lebanon,1983-11-04,33.270489,35.203764
5,Union City,United States,1982-05-17,37.593392,-122.04383
2,Utrecht,Netherlands,1995-04-15,52.090737,5.12142
12,Valencia,Spain,2007-05-24,39.469908,-0.376288
3,Valleta,Malta,1984-11-18,35.898909,14.514553
3,Vancouver,Canada,1988-08-26,49.282729,-123.120738
2,Venice,Italy,2001-08-09,45.440847,12.315515
2,Verona,Italy,1999-05-19,45.438384,10.991622
43,Vienna,Austria,2005-11-16,48.208174,16.373819
11,Vientiane,Laos,2004-11-25,17.975706,102.633104
9,Vina Del Mar,Chile,1991-01-22,-33.015348,-71.550028
5,Warsaw,Poland,1998-07-15,52.229676,21.012229
1,Weehawken,United States,1979-03-26,40.766371,-74.025371
3,Weisbaden,Federal Republic of Germany,1985-08-08,,
2,Wellington,New Zealand,2002-01-06,-41.28646,174.776236
13,West Beirut,Lebanon,1988-12-12,33.893791,35.501777
24,West Berlin,Federal Republic of Germany,1988-03-28,39.808726,-74.941277
4,Wiesbaden,Federal Republic of Germany,1991-08-15,50.078218,8.239761
1,Yesilyurt,Turkey,1977-10-09,38.295459,38.247475
33,Zamboanga,Philippines,2008-06-20,6.921442,122.079027
1,Zarit,Israel,1980-12-14,33.098985,35.288522
1,Zouerate,Mauritania,1977-05-01,22.732532,-12.47532
25,Zurich,Switzerland,2006-07-04,47.376887,8.541694
1,el Hamma,Israel,1969-08-07,32.373333,35.500833
count(*),City,Country,Date,latitude,longitude
1,Abu Dhabi,United Arab Emirates,1977-10-26,54.697277,24.299174
18,Adana,Turkey,2006-08-25,35.330829,36.991419
16,Addis Ababa,Ethiopia,2008-09-03,38.757761,8.980603
13,Afula,Israel,2003-05-19,35.287922,32.610493
15,Ahvaz,Iran,2006-03-02,48.670619,31.318327
1,Al-Alamein,Egypt,1977-03-09,28.954309,30.82247
1,Alayh,Lebanon,1982-10-04,35.978889,33.589722
1,Albany,United States,1981-09-22,-73.756232,42.652579
1,Aleppo,Cyprus,1977-11-03,,
